scene_id,start,end,caption,prompt
scene-001,0.0,8.0,"You're about to learn prayer techniques that almost no one talks about anymore. Methods so old they were practiced by the very first generations of Christians,","2nd-century early Christian world; candlelit interiors/courtyards/catacombs; warm cinematic lighting; documentary realism; gentle camera movement; filmic grain; no identifiable faces; respectful, reverent tone. Depict: You're about to learn prayer techniques that almost no one talks about anymore. Methods so old they were practiced by the very first generations of Christians,. Visual theme: opening transition from modern to 2nd century; dawn light over Mediterranean city; parchment textures. Aspect 16:9, cinematic, natural light."
scene-002,8.0,16.0,"Methods so old they were practiced by the very first generations of Christians, and so powerful that believers swore they could keep you in God's presence every moment of the day. The","2nd-century early Christian world; candlelit interiors/courtyards/catacombs; warm cinematic lighting; documentary realism; gentle camera movement; filmic grain; no identifiable faces; respectful, reverent tone. Depict: Methods so old they were practiced by the very first generations of Christians, and so powerful that believers swore they could keep you in God's presence every moment of the day. The. Visual theme: opening transition from modern to 2nd century; dawn light over Mediterranean city; parchment textures. Aspect 16:9, cinematic, natural light."
scene-003,16.0,24.0,"The amazing thing? You can still do them now, in ways very close to how they did nearly 2,000 years ago. The year is 140 AD. Christianity is only about a century","2nd-century early Christian world; candlelit interiors/courtyards/catacombs; warm cinematic lighting; documentary realism; gentle camera movement; filmic grain; no identifiable faces; respectful, reverent tone. Depict: The amazing thing? You can still do them now, in ways very close to how they did nearly 2,000 years ago. The year is 140 AD. Christianity is only about a century. Visual theme: opening transition from modern to 2nd century; dawn light over Mediterranean city; parchment textures. Aspect 16:9, cinematic, natural light."
scene-004,24.0,32.0,"The year is 140 AD. Christianity is only about a century old. In most cities, believers meet quietly in private homes. Sometimes in workshops or shaded courtyards.","2nd-century early Christian world; candlelit interiors/courtyards/catacombs; warm cinematic lighting; documentary realism; gentle camera movement; filmic grain; no identifiable faces; respectful, reverent tone. Depict: The year is 140 AD. Christianity is only about a century old. In most cities, believers meet quietly in private homes. Sometimes in workshops or shaded courtyards.. Visual theme: house-church gathering; hush; hands and silhouettes; lamplight; close intimacy. Aspect 16:9, cinematic, natural light."
scene-005,32.0,40.0,"Sometimes in workshops or shaded courtyards. There are no printed Bibles yet. That won't happen for more than 1,000 years. Instead, they treasure hand-copied codices, the early form of the bound book,","2nd-century early Christian world; candlelit interiors/courtyards/catacombs; warm cinematic lighting; documentary realism; gentle camera movement; filmic grain; no identifiable faces; respectful, reverent tone. Depict: Sometimes in workshops or shaded courtyards. There are no printed Bibles yet. That won't happen for more than 1,000 years. Instead, they treasure hand-copied codices, the early form of the bound book,. Visual theme: codices and scrolls; ink, reed pens; lector reading to a small circle. Aspect 16:9, cinematic, natural light."
scene-006,40.0,48.0,"Instead, they treasure hand-copied codices, the early form of the bound book, and sometimes scrolls, each containing portions of the scriptures. In their Sunday worship, they hear readings from the memoirs of","2nd-century early Christian world; candlelit interiors/courtyards/catacombs; warm cinematic lighting; documentary realism; gentle camera movement; filmic grain; no identifiable faces; respectful, reverent tone. Depict: Instead, they treasure hand-copied codices, the early form of the bound book, and sometimes scrolls, each containing portions of the scriptures. In their Sunday worship, they hear readings from the memoirs of. Visual theme: codices and scrolls; ink, reed pens; lector reading to a small circle. Aspect 16:9, cinematic, natural light."
scene-007,48.0,56.0,"In their Sunday worship, they hear readings from the memoirs of the apostles, meaning the gospels, and from the prophets of the Hebrew scriptures. This isn't just a guess.","2nd-century early Christian world; candlelit interiors/courtyards/catacombs; warm cinematic lighting; documentary realism; gentle camera movement; filmic grain; no identifiable faces; respectful, reverent tone. Depict: In their Sunday worship, they hear readings from the memoirs of the apostles, meaning the gospels, and from the prophets of the Hebrew scriptures. This isn't just a guess.. Visual theme: codices and scrolls; ink, reed pens; lector reading to a small circle. Aspect 16:9, cinematic, natural light."
scene-008,56.0,64.0,"It's exactly how the Christian philosopher Justin Martyr described the liturgy around this time. Justin was a former pagan who became one of the first great Christian apologists,","2nd-century early Christian world; candlelit interiors/courtyards/catacombs; warm cinematic lighting; documentary realism; gentle camera movement; filmic grain; no identifiable faces; respectful, reverent tone. Depict: It's exactly how the Christian philosopher Justin Martyr described the liturgy around this time. Justin was a former pagan who became one of the first great Christian apologists,. Visual theme: codices and scrolls; ink, reed pens; lector reading to a small circle. Aspect 16:9, cinematic, natural light."
scene-009,64.0,72.0,"Justin was a former pagan who became one of the first great Christian apologists, explaining the faith to Roman audiences, and leaving us invaluable eyewitness accounts of early Christian worship. In some","2nd-century early Christian world; candlelit interiors/courtyards/catacombs; warm cinematic lighting; documentary realism; gentle camera movement; filmic grain; no identifiable faces; respectful, reverent tone. Depict: Justin was a former pagan who became one of the first great Christian apologists, explaining the faith to Roman audiences, and leaving us invaluable eyewitness accounts of early Christian worship. In some. Visual theme: codices and scrolls; ink, reed pens; lector reading to a small circle. Aspect 16:9, cinematic, natural light."
scene-010,72.0,80.0,"Christian worship. In some cities, Christians also meet for commemorations at the tombs of martyrs, deep in the catacombs. These underground burial networks were not everyday hiding places,","2nd-century early Christian world; candlelit interiors/courtyards/catacombs; warm cinematic lighting; documentary realism; gentle camera movement; filmic grain; no identifiable faces; respectful, reverent tone. Depict: Christian worship. In some cities, Christians also meet for commemorations at the tombs of martyrs, deep in the catacombs. These underground burial networks were not everyday hiding places,. Visual theme: codices and scrolls; ink, reed pens; lector reading to a small circle. Aspect 16:9, cinematic, natural light."
